Sample,Iteration,Kernel,Accuracy,C,Gamma
S1,45,poly,0.9181286549707602,2.154434690031882,1000.0
S1,46,linear,0.9415204678362573,46.41588833612773,0.001
S1,46,rbf,0.9883040935672515,10.0,0.1
S1,46,poly,0.6783625730994152,0.004641588833612777,215.44346900318823
S1,47,linear,0.9415204678362573,215.44346900318823,0.021544346900318832
S1,47,rbf,0.631578947368421,0.004641588833612777,1000.0
S1,47,poly,0.6432748538011696,0.001,0.004641588833612777
S1,48,linear,0.9415204678362573,0.001,10.0
S1,48,rbf,0.9707602339181286,1000.0,46.41588833612773
S1,48,poly,0.9590643274853801,215.44346900318823,0.021544346900318832
S1,49,linear,0.9415204678362573,1000.0,1000.0
S1,49,rbf,0.631578947368421,0.004641588833612777,46.41588833612773
S1,49,poly,0.9649122807017544,46.41588833612773,2.154434690031882
S1,50,linear,0.9415204678362573,215.44346900318823,0.004641588833612777
S1,50,rbf,0.631578947368421,0.004641588833612777,0.021544346900318832
S1,50,poly,0.9590643274853801,215.44346900318823,0.46415888336127775
S1,51,linear,0.935672514619883,10.0,0.004641588833612777
S1,51,rbf,0.9064327485380117,0.021544346900318832,46.41588833612773
S1,51,poly,0.6432748538011696,0.001,2.154434690031882
S1,52,linear,0.9415204678362573,0.001,0.1
S1,52,rbf,0.631578947368421,0.004641588833612777,10.0
S1,52,poly,0.9532163742690059,1000.0,2.154434690031882
S1,53,linear,0.9590643274853801,0.004641588833612777,2.154434690031882
S1,53,rbf,0.9707602339181286,1000.0,0.001
S1,53,poly,0.8771929824561403,0.46415888336127775,0.001
S1,54,linear,0.9707602339181286,2.154434690031882,215.44346900318823
S1,54,rbf,0.9883040935672515,10.0,2.154434690031882
S1,54,poly,0.9181286549707602,2.154434690031882,0.1
S1,55,linear,0.9707602339181286,2.154434690031882,0.46415888336127775
S1,55,rbf,0.9064327485380117,0.021544346900318832,0.1
S1,55,poly,0.9707602339181286,10.0,46.41588833612773
S1,56,linear,0.935672514619883,10.0,1000.0
S1,56,rbf,0.9064327485380117,0.021544346900318832,215.44346900318823
S1,56,poly,0.8771929824561403,0.46415888336127775,0.021544346900318832
S1,57,linear,0.9415204678362573,215.44346900318823,0.001
S1,57,rbf,0.9707602339181286,1000.0,0.1
S1,57,poly,0.8128654970760234,0.1,1000.0
S1,58,linear,0.9824561403508771,0.46415888336127775,0.004641588833612777
S1,58,rbf,0.9649122807017544,0.46415888336127775,46.41588833612773
S1,58,poly,0.8128654970760234,0.1,0.004641588833612777
S1,59,linear,0.9707602339181286,0.1,0.001
S1,59,rbf,0.9298245614035088,0.1,0.001
S1,59,poly,0.8771929824561403,0.46415888336127775,46.41588833612773
S1,60,linear,0.9649122807017544,0.021544346900318832,1000.0
S1,60,rbf,0.9707602339181286,215.44346900318823,0.021544346900318832
S1,60,poly,0.9590643274853801,215.44346900318823,215.44346900318823
S1,61,linear,0.9415204678362573,1000.0,46.41588833612773
S1,61,rbf,0.9298245614035088,0.1,0.001
S1,61,poly,0.9532163742690059,1000.0,215.44346900318823
S1,62,linear,0.9707602339181286,0.1,46.41588833612773
S1,62,rbf,0.9649122807017544,0.46415888336127775,215.44346900318823
S1,62,poly,0.9532163742690059,1000.0,215.44346900318823
S1,63,linear,0.9590643274853801,0.004641588833612777,0.46415888336127775
S1,63,rbf,0.9766081871345029,2.154434690031882,0.021544346900318832
S1,63,poly,0.8771929824561403,0.46415888336127775,215.44346900318823
S1,64,linear,0.9415204678362573,46.41588833612773,1000.0
S1,64,rbf,0.631578947368421,0.001,0.004641588833612777
S1,64,poly,0.8771929824561403,0.46415888336127775,0.001
S1,65,linear,0.9415204678362573,0.001,2.154434690031882
S1,65,rbf,0.631578947368421,0.004641588833612777,10.0
S1,65,poly,0.7485380116959064,0.021544346900318832,215.44346900318823
S1,66,linear,0.9415204678362573,215.44346900318823,0.46415888336127775
S1,66,rbf,0.9707602339181286,1000.0,46.41588833612773
S1,66,poly,0.7485380116959064,0.021544346900318832,46.41588833612773
S1,67,linear,0.9707602339181286,2.154434690031882,0.001
S1,67,rbf,0.9649122807017544,0.46415888336127775,0.1
S1,67,poly,0.9181286549707602,2.154434690031882,0.1
S1,68,linear,0.9707602339181286,2.154434690031882,10.0
S1,68,rbf,0.631578947368421,0.004641588833612777,1000.0
S1,68,poly,0.6432748538011696,0.001,1000.0
S1,69,linear,0.9707602339181286,0.1,1000.0
S1,69,rbf,0.9590643274853801,46.41588833612773,0.1
S1,69,poly,0.9590643274853801,215.44346900318823,0.46415888336127775
S1,70,linear,0.9415204678362573,1000.0,2.154434690031882
S1,70,rbf,0.9590643274853801,46.41588833612773,0.46415888336127775
S1,70,poly,0.9707602339181286,10.0,0.021544346900318832
S1,71,linear,0.9649122807017544,0.021544346900318832,2.154434690031882
S1,71,rbf,0.9883040935672515,10.0,215.44346900318823
S1,71,poly,0.9590643274853801,215.44346900318823,0.004641588833612777
S1,72,linear,0.9415204678362573,215.44346900318823,46.41588833612773
S1,72,rbf,0.9590643274853801,46.41588833612773,0.004641588833612777
S1,72,poly,0.6432748538011696,0.001,0.021544346900318832
S1,73,linear,0.9415204678362573,215.44346900318823,10.0
S1,73,rbf,0.9590643274853801,46.41588833612773,1000.0
S1,73,poly,0.9181286549707602,2.154434690031882,10.0
S1,74,linear,0.9415204678362573,215.44346900318823,0.46415888336127775
S1,74,rbf,0.631578947368421,0.001,46.41588833612773
S1,74,poly,0.8128654970760234,0.1,215.44346900318823
S1,75,linear,0.9649122807017544,0.021544346900318832,215.44346900318823
S1,75,rbf,0.9766081871345029,2.154434690031882,0.46415888336127775
S1,75,poly,0.9707602339181286,10.0,2.154434690031882
S1,76,linear,0.9649122807017544,0.021544346900318832,10.0
S1,76,rbf,0.631578947368421,0.004641588833612777,0.004641588833612777
S1,76,poly,0.9181286549707602,2.154434690031882,0.1
S1,77,linear,0.9415204678362573,1000.0,0.004641588833612777
S1,77,rbf,0.631578947368421,0.004641588833612777,0.004641588833612777
S1,77,poly,0.9532163742690059,1000.0,0.004641588833612777
S1,78,linear,0.9707602339181286,0.1,0.021544346900318832
S1,78,rbf,0.631578947368421,0.001,215.44346900318823
S1,78,poly,0.9532163742690059,1000.0,46.41588833612773
S1,79,linear,0.9415204678362573,46.41588833612773,0.001
